attribute,country,value,entity_code,income_group,econ_region,geo_region
"Quality of math and science education, 1-7 (best)",Nigeria,2.863519,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Nigeria,3.19066,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Nigeria,25.67,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Nigeria,0.0148915555,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Nigeria,11.256526,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Norway,5.4746633,NOR,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Norway,99.78458,NOR,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Norway,5.3156676,NOR,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Norway,4.883235,NOR,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Norway,5.9546266,NOR,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Norway,97.2982,NOR,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Norway,40.37084,NOR,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Norway,268.95303,NOR,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Oman,3.8666024,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Oman,94.5264,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Oman,3.57101,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Oman,3.7412243,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Oman,4.003973,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Oman,69.815216,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Oman,6.1909533,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Oman,66.070694,OMN,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Pakistan,3.3134804,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Primary education enrollment, net %",Pakistan,73.84532,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Quality of the education system, 1-7 (best)",Pakistan,3.7523727,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Quality of math and science education, 1-7 (best)",Pakistan,3.505814,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Internet access in schools, 1-7 (best)",Pakistan,3.617292,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Individuals using Internet, %",Pakistan,15.514558,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
Fixed broadband Internet subscriptions/100 pop.,Pakistan,0.85931194,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Int’l Internet bandwidth, kb/s per user",Pakistan,16.636248,PAK,Lower middle income,"Middle East, North Africa, and Pakistan",South Asia
"Quality of primary education, 1-7 (best)",Panama,3.227063,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Panama,93.40181,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Panama,3.2333775,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Panama,3.12946,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Panama,4.3771863,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Panama,54.0,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Panama,9.548676,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Panama,55.07217,PAN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Paraguay,2.2257302,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Paraguay,88.54507,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Paraguay,2.2373405,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Paraguay,2.4066584,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Paraguay,3.2132328,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Paraguay,51.349873,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Paraguay,3.3504415,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Paraguay,21.015444,PRY,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Peru,2.5734367,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Peru,94.08172,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Peru,2.5976236,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Peru,2.7057567,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Peru,3.8465729,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Peru,45.461742,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Peru,6.7218733,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Peru,33.314686,PER,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Philippines,4.0702977,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Philippines,95.9844,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Philippines,4.2103024,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Philippines,3.9327016,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Philippines,4.351198,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Philippines,55.5,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Philippines,5.4579096,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Philippines,43.439793,PHL,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Poland,4.600642,POL,High income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Poland,96.41781,POL,High income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Poland,3.6079495,POL,High income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Poland,4.476178,POL,High income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Poland,4.587073,POL,High income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Poland,73.3007,POL,High income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Poland,19.220854,POL,High income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Poland,83.29859,POL,High income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Portugal,4.9857407,PRT,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Portugal,97.8249,PRT,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Portugal,4.435629,PRT,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Portugal,4.8206534,PRT,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Portugal,5.061445,PRT,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Portugal,70.42357,PRT,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Portugal,31.823082,PRT,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Portugal,177.80846,PRT,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Qatar,5.557478,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Qatar,92.11397,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Qatar,5.570232,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Qatar,5.615033,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Qatar,5.614778,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Qatar,94.291115,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Qatar,10.765919,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Qatar,86.949844,QAT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Romania,3.9076772,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Romania,86.8692,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Romania,2.798498,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Romania,4.956118,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Romania,4.0708184,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Romania,59.503952,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Romania,20.67788,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Romania,155.5156,ROU,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Russian Federation,4.432667,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Russian Federation,96.53101,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Russian Federation,3.719385,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Russian Federation,4.439981,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Russian Federation,5.0398912,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Russian Federation,76.40909,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Russian Federation,19.466345,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Russian Federation,51.888054,RUS,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Rwanda,4.2972217,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Rwanda,95.09565,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Rwanda,4.3630686,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Rwanda,4.37743,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Rwanda,4.4672794,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Rwanda,20.0,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Rwanda,0.17023134,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Rwanda,7.454724,RWA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Saudi Arabia,4.092153,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Saudi Arabia,97.59739,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Saudi Arabia,4.29074,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Saudi Arabia,4.2101893,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Saudi Arabia,4.44842,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Saudi Arabia,73.7509,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Saudi Arabia,10.809582,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Saudi Arabia,78.16262,SAU,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Senegal,3.7401912,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Senegal,71.44651,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Senegal,3.5285873,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Senegal,3.8520205,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Senegal,4.2571945,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Senegal,25.664768,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Senegal,0.6390735,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Senegal,4.9767184,SEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Serbia,4.0763083,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Serbia,96.30226,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Serbia,3.2742543,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Serbia,4.817669,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Serbia,3.8786144,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Serbia,67.05684,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Serbia,18.94739,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Serbia,26.29176,SRB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Seychelles,4.425532,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Seychelles,94.90045,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Seychelles,3.7234042,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Seychelles,4.1489363,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Seychelles,3.7391305,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Seychelles,56.51471,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Seychelles,14.901049,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Seychelles,52.432766,SYC,High income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Sierra Leone,2.900929,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Sierra Leone,99.11538,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Sierra Leone,3.1840081,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Sierra Leone,2.7715573,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Sierra Leone,2.5722952,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Sierra Leone,11.773185,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Sierra Leone,0.0,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Sierra Leone,1.0370101,SLE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Singapore,6.171519,SGP,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %",Singapore,100.0,SGP,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Singapore,5.8156304,SGP,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Singapore,6.4597535,SGP,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Singapore,6.175944,SGP,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %",Singapore,81.0,SGP,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Singapore,25.446548,SGP,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Singapore,982.9231,SGP,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Slovenia,5.203052,SVN,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Slovenia,97.73995,SVN,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Slovenia,4.0423717,SVN,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Slovenia,5.3772674,SVN,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Slovenia,5.3754034,SVN,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Slovenia,75.498505,SVN,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Slovenia,28.250319,SVN,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Slovenia,239.16756,SVN,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",South Africa,2.9864986,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",South Africa,97.1,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",South Africa,2.8022664,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",South Africa,2.6431491,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",South Africa,3.6387773,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",South Africa,54.0,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,South Africa,2.8414862,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",South Africa,263.02994,ZAF,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Spain,4.248307,ESP,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Spain,99.42125,ESP,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Spain,3.6798158,ESP,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Spain,4.070622,ESP,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Spain,4.733825,ESP,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Spain,80.56133,ESP,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Spain,29.453438,ESP,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Spain,112.99662,ESP,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Sri Lanka,4.4726067,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Primary education enrollment, net %",Sri Lanka,98.93746,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of the education system, 1-7 (best)",Sri Lanka,3.7563944,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of math and science education, 1-7 (best)",Sri Lanka,4.5985785,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Internet access in schools, 1-7 (best)",Sri Lanka,3.659502,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Individuals using Internet, %",Sri Lanka,32.051003,LKA,Lower middle income,Emerging and Developing Asia,South Asia
Fixed broadband Internet subscriptions/100 pop.,Sri Lanka,4.098086,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Int’l Internet bandwidth, kb/s per user",Sri Lanka,22.037928,LKA,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of primary education, 1-7 (best)",Swaziland,3.9782608,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Swaziland,79.6157,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Swaziland,3.5510204,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Swaziland,3.5777779,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Swaziland,2.3913043,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Swaziland,28.573523,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Swaziland,0.5372849,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Swaziland,5.7888203,SWZ,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Sweden,4.7305164,SWE,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Sweden,99.37306,SWE,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Sweden,4.7595654,SWE,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Sweden,4.5504704,SWE,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Sweden,6.150567,SWE,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Sweden,91.50683,SWE,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Sweden,36.28317,SWE,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Sweden,505.64978,SWE,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Switzerland,6.207577,CHE,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Switzerland,99.62363,CHE,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Switzerland,6.1892715,CHE,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Switzerland,6.086422,CHE,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Switzerland,5.868063,CHE,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Switzerland,89.40557,CHE,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Switzerland,46.274666,CHE,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Switzerland,269.22168,CHE,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)","Taiwan, China",5.3680286,TWN,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %","Taiwan, China",99.5,TWN,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)","Taiwan, China",4.4777975,TWN,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)","Taiwan, China",5.2426105,TWN,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)","Taiwan, China",5.3092046,TWN,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %","Taiwan, China",79.745186,TWN,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,"Taiwan, China",24.229866,TWN,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user","Taiwan, China",717.5671,TWN,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Tajikistan,4.0503316,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Tajikistan,97.72782,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Tajikistan,4.0555553,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Tajikistan,3.9556081,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Tajikistan,4.5135384,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Tajikistan,20.47,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Tajikistan,0.068095,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Tajikistan,2.4211924,TJK,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Tanzania,2.972055,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Tanzania,80.09053,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Tanzania,3.2839725,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Tanzania,2.8498678,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Tanzania,3.13735,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Tanzania,13.0,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Tanzania,0.25440532,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Tanzania,1.7412694,TZA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Thailand,3.530924,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Thailand,90.75587,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Thailand,3.7186766,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
